"","Estimate","Std.err.","t-ratio(0)","p(1-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"alpha_base",0,NA,NA,NA,NA,NA,NA
"gamma_RefinedGrains",26.2826366629458,NA,NA,NA,NA,NA,NA
"gamma_StarchyVegetables",130.281025195428,NA,NA,NA,NA,NA,NA
"gamma_Vegetables",86.752465352235,NA,NA,NA,NA,NA,NA
"gamma_Fruits",102.848380752951,NA,NA,NA,NA,NA,NA
"gamma_DairyFoods",33.2039314482144,NA,NA,NA,NA,NA,NA
"gamma_Beef_and_lamb",54.4393948763431,NA,NA,NA,NA,NA,NA
"gamma_Pork",25.4562237632424,NA,NA,NA,NA,NA,NA
"gamma_Chicken_and_other_poultry",55.1057993254616,NA,NA,NA,NA,NA,NA
"gamma_Eggs",46.2343483078469,NA,NA,NA,NA,NA,NA
"gamma_Fish",19.4838972970083,NA,NA,NA,NA,NA,NA
"gamma_Legumes",22.5129900826303,NA,NA,NA,NA,NA,NA
"gamma_Nuts",27.4794234532774,NA,NA,NA,NA,NA,NA
"gamma_SoyFoods",0.0201283330793335,NA,NA,NA,NA,NA,NA
"gamma_meatOther",23.1411426616681,NA,NA,NA,NA,NA,NA
"gamma_AddedFats",24.4724645785913,NA,NA,NA,NA,NA,NA
"gamma_AddedSugars",146.021460787634,NA,NA,NA,NA,NA,NA
"delta_RefinedGrains",-0.877410585331826,NA,NA,NA,NA,NA,NA
"delta_RefinedGrains_npersonas",-0.19990776231648,NA,NA,NA,NA,NA,NA
"delta_RefinedGrains_quintil",-0.813297443461209,NA,NA,NA,NA,NA,NA
"delta_StarchyVegetables",-3.73930477443572,NA,NA,NA,NA,NA,NA
"delta_StarchyVegetables_npersonas",-0.348750157131181,NA,NA,NA,NA,NA,NA
"delta_StarchyVegetables_quintil",-0.862698992425385,NA,NA,NA,NA,NA,NA
"delta_Vegetables",-1.23461563361595,NA,NA,NA,NA,NA,NA
"delta_Vegetables_npersonas",-0.701927983926027,NA,NA,NA,NA,NA,NA
"delta_Vegetables_quintil",-0.946699825211515,NA,NA,NA,NA,NA,NA
"delta_Fruits",-1.83726374939345,NA,NA,NA,NA,NA,NA
"delta_Fruits_npersonas",-0.675931626755864,NA,NA,NA,NA,NA,NA
"delta_Fruits_quintil",-0.803787229672381,NA,NA,NA,NA,NA,NA
"delta_DairyFoods",-0.899400502122547,NA,NA,NA,NA,NA,NA
"delta_DairyFoods_npersonas",-0.677665619224288,NA,NA,NA,NA,NA,NA
"delta_DairyFoods_quintil",-0.760246626193344,NA,NA,NA,NA,NA,NA
"delta_Beef_and_lamb",-0.523049122175907,NA,NA,NA,NA,NA,NA
"delta_Beef_and_lamb_npersonas",-0.774835869588938,NA,NA,NA,NA,NA,NA
"delta_Beef_and_lamb_quintil",-0.950399425244011,NA,NA,NA,NA,NA,NA
"delta_Pork",-2.5004550281523,NA,NA,NA,NA,NA,NA
"delta_Pork_npersonas",-0.664938683775594,NA,NA,NA,NA,NA,NA
"delta_Pork_quintil",-0.813241825126611,NA,NA,NA,NA,NA,NA
"delta_Chicken_and_other_poultry",-1.14163257205642,NA,NA,NA,NA,NA,NA
"delta_Chicken_and_other_poultry_npersonas",-0.713851667343631,NA,NA,NA,NA,NA,NA
"delta_Chicken_and_other_poultry_quintil",-0.905788959040734,NA,NA,NA,NA,NA,NA
"delta_Eggs",-2.97932295036918,NA,NA,NA,NA,NA,NA
"delta_Eggs_npersonas",-0.396776286931258,NA,NA,NA,NA,NA,NA
"delta_Eggs_quintil",-0.734784023294368,NA,NA,NA,NA,NA,NA
"delta_Fish",-1.80784812471826,NA,NA,NA,NA,NA,NA
"delta_Fish_npersonas",-1.02348994937766,NA,NA,NA,NA,NA,NA
"delta_Fish_quintil",-0.714711199221726,NA,NA,NA,NA,NA,NA
"delta_Legumes",-3.71344239691759,NA,NA,NA,NA,NA,NA
"delta_Legumes_npersonas",-0.317318409520442,NA,NA,NA,NA,NA,NA
"delta_Legumes_quintil",-0.698078693679173,NA,NA,NA,NA,NA,NA
"delta_Nuts",-4.65265879981478,NA,NA,NA,NA,NA,NA
"delta_Nuts_npersonas",-0.226143718984267,NA,NA,NA,NA,NA,NA
"delta_Nuts_quintil",-0.580861885955963,NA,NA,NA,NA,NA,NA
"delta_SoyFoods",-11.3501449245983,NA,NA,NA,NA,NA,NA
"delta_SoyFoods_npersonas",0.885152912441378,NA,NA,NA,NA,NA,NA
"delta_SoyFoods_quintil",-1.45631544287546,NA,NA,NA,NA,NA,NA
"delta_meatOther",-2.37836202588441,NA,NA,NA,NA,NA,NA
"delta_meatOther_npersonas",-0.408816977051231,NA,NA,NA,NA,NA,NA
"delta_meatOther_quintil",-0.900711313501474,NA,NA,NA,NA,NA,NA
"delta_AddedFats",-1.28357089313845,NA,NA,NA,NA,NA,NA
"delta_AddedFats_npersonas",-0.819199048870123,NA,NA,NA,NA,NA,NA
"delta_AddedFats_quintil",-0.9544086336692,NA,NA,NA,NA,NA,NA
"delta_AddedSugars",-2.84189621749014,NA,NA,NA,NA,NA,NA
"delta_AddedSugars_npersonas",-0.490941926265643,NA,NA,NA,NA,NA,NA
"delta_AddedSugars_quintil",-0.766225570195204,NA,NA,NA,NA,NA,NA
"sig",0.911426612088122,NA,NA,NA,NA,NA,NA
